date,realized_pnl,unrealized_pnl,total_pnl,position,spread,z_score
2024-02-12,1296683.8500976562,945206.4514160156,2241890.301513672,-1,-25.689529418945312,-1.13580863220125
2024-02-13,1296683.8500976562,878993.2250976562,2175677.0751953125,-1,-24.365264892578125,-0.8874724402809306
2024-02-14,1296683.8500976562,956232.4523925781,2252916.3024902344,-1,-25.910049438476562,-0.9696828280316167
2024-02-15,1296683.8500976562,1054786.6821289062,2351470.5322265625,-1,-27.881134033203125,-1.0834150042570359
2024-02-16,1296683.8500976562,1152115.6311035156,2448799.481201172,-1,-29.827713012695312,-1.1785435279182646
2024-02-20,1296683.8500976562,1000794.9829101562,2297478.8330078125,-1,-26.801300048828125,-0.7512222471646887
2024-02-21,1296683.8500976562,1005220.7946777344,2301904.6447753906,-1,-26.889816284179688,-0.682575532637731
2024-02-22,1296683.8500976562,1228180.6945800781,2524864.5446777344,-1,-31.349014282226562,-1.111982034072638
2024-02-23,1296683.8500976562,1255141.4489746094,2551825.2990722656,-1,-31.888229370117188,-1.1063446881803718
2024-02-26,1296683.8500976562,1559735.8703613281,2856419.7204589844,-1,-37.98011779785156,-1.7864885367006398
2024-02-27,1296683.8500976562,1435125.732421875,2731809.5825195312,-1,-35.4879150390625,-1.40242178294949
2024-02-28,1296683.8500976562,1540381.6223144531,2837065.4724121094,-1,-37.59303283691406,-1.7969154394630709
2024-02-29,1296683.8500976562,1617002.1057128906,2913685.955810547,-1,-39.12544250488281,-1.9407919841343984
2024-03-01,1296683.8500976562,1755608.3679199219,3052292.218017578,-1,-41.89756774902344,-2.173582180388429
2024-03-04,1296683.8500976562,1911978.9123535156,3208662.762451172,-1,-45.02497863769531,-2.2278975299965924
2024-03-05,1296683.8500976562,1772776.0314941406,3069459.881591797,-1,-42.24092102050781,-1.5669973308497998
2024-03-06,1296683.8500976562,1805397.7966308594,3102081.6467285156,-1,-42.89335632324219,-1.4722234617529648
2024-03-07,1296683.8500976562,1822786.7126464844,3119470.5627441406,-1,-43.24113464355469,-1.3585968434430153
2024-03-08,1296683.8500976562,1698092.6513671875,2994776.5014648438,-1,-40.74725341796875,-0.9205385893213494
2024-03-11,2712900.4821777344,0.0,2712900.4821777344,0,-35.11073303222656,-0.07423100861616466
2024-03-12,2712900.4821777344,0.0,2712900.4821777344,0,-37.71568298339844,-0.3802981969076345
2024-03-13,2712900.4821777344,0.0,2712900.4821777344,0,-37.60337829589844,-0.28471191421496184
2024-03-14,2712900.4821777344,0.0,2712900.4821777344,0,-36.50309753417969,-0.019979617960283982
2024-03-15,2712900.4821777344,0.0,2712900.4821777344,0,-34.0816650390625,0.49168991916960386
2024-03-18,2712850.4821777344,-0.0,2712850.4821777344,-1,-27.680419921875,1.6232719598042804
2024-03-19,2712850.4821777344,103305.0537109375,2816155.535888672,-1,-29.74652099609375,1.3325872938382544
